tax_id 	Org_name       	GeneID    	CurrentID 	Status 	Symbol       	Aliases                           	description                                                                                          	other_designations                                                                                                      	map_location 	chromosome 	genomic_nucleotide_accession.version 	start_position_on_the_genomic_accession 	end_position_on_the_genomic_accession 	orientation 	exon_count 	OMIM 	
  9600 	Pongo pygmaeus 	129030095 	        0 	live   	SLC8A1       	                                  	solute carrier family 8 member A1                                                                    	sodium/calcium exchanger 1                                                                                              	             	        12 	NC_072385.2                          	                               93251850 	                             93641702 	plus        	        16 	     	
  9600 	Pongo pygmaeus 	129030089 	        0 	live   	COMMD1       	                                  	copper metabolism domain containing 1                                                                	COMM domain-containing protein 1                                                                                        	             	        12 	NC_072385.2                          	                               71444750 	                             71691725 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	129030088 	        0 	live   	CCT4         	                                  	chaperonin containing TCP1 subunit 4                                                                 	LOW QUALITY PROTEIN: T-complex protein 1 subunit delta                                                                  	             	        12 	NC_072385.2                          	                               71691769 	                             71712162 	plus        	        14 	     	
  9600 	Pongo pygmaeus 	129030087 	        0 	live   	TEX261       	                                  	testis expressed 261                                                                                 	protein TEX261                                                                                                          	             	        12 	NC_072385.2                          	                               62535918 	                             62544874 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030086 	        0 	live   	ANKRD53      	                                  	ankyrin repeat domain 53                                                                             	ankyrin repeat domain-containing protein 53                                                                             	             	        12 	NC_072385.2                          	                               62544094 	                             62552509 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030080 	        0 	live   	DNAH6        	                                  	dynein axonemal heavy chain 6                                                                        	dynein axonemal heavy chain 6                                                                                           	             	        12 	NC_072385.2                          	                               48457683 	                             48780309 	minus       	        78 	     	
  9600 	Pongo pygmaeus 	129030065 	        0 	live   	MRPL19       	                                  	mitochondrial ribosomal protein L19                                                                  	large ribosomal subunit protein bL19m                                                                                   	             	        12 	NC_072385.2                          	                               57810740 	                             57819906 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030054 	        0 	live   	BABAM2       	                                  	BRISC and BRCA1 A complex member 2                                                                   	BRISC and BRCA1-A complex member 2                                                                                      	             	        12 	NC_072385.2                          	                              105607838 	                            106151984 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129030051 	        0 	live   	LRRTM1       	                                  	leucine rich repeat transmembrane neuronal 1                                                         	leucine-rich repeat transmembrane neuronal protein 1                                                                    	             	        12 	NC_072385.2                          	                               53121501 	                             53137782 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129030049 	        0 	live   	CTNNA2       	                                  	catenin alpha 2                                                                                      	catenin alpha-2                                                                                                         	             	        12 	NC_072385.2                          	                               52778781 	                             53926635 	minus       	        23 	     	
  9600 	Pongo pygmaeus 	129030047 	        0 	live   	HK2          	                                  	hexokinase 2                                                                                         	hexokinase-2                                                                                                            	             	        12 	NC_072385.2                          	                               58592589 	                             58652434 	minus       	        18 	     	
  9600 	Pongo pygmaeus 	129030045 	        0 	live   	DTNB         	                                  	dystrobrevin beta                                                                                    	dystrobrevin beta                                                                                                       	             	        12 	NC_072385.2                          	                              108269212 	                            108564411 	plus        	        23 	     	
  9600 	Pongo pygmaeus 	129030044 	        0 	live   	RAB10        	                                  	RAB10, member RAS oncogene family                                                                    	ras-related protein Rab-10                                                                                              	             	        12 	NC_072385.2                          	                              107804833 	                            107907749 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030032 	        0 	live   	FNDC4        	                                  	fibronectin type III domain containing 4                                                             	fibronectin type III domain-containing protein 4                                                                        	             	        12 	NC_072385.2                          	                              106445614 	                            106450562 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129030031 	        0 	live   	TRMT61B      	                                  	tRNA methyltransferase 61B                                                                           	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial                                                                	             	        12 	NC_072385.2                          	                              105071937 	                            105092409 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129029967 	        0 	live   	AUP1         	                                  	AUP1 lipid droplet regulating VLDL assembly factor                                                   	lipid droplet-regulating VLDL assembly factor AUP1                                                                      	             	        12 	NC_072385.2                          	                               58957115 	                             58960340 	plus        	        13 	     	
  9600 	Pongo pygmaeus 	129029966 	        0 	live   	HTRA2        	                                  	HtrA serine peptidase 2                                                                              	serine protease HTRA2, mitochondrial                                                                                    	             	        12 	NC_072385.2                          	                               58953833 	                             58957061 	minus       	         8 	     	
  9600 	Pongo pygmaeus 	129029962 	        0 	live   	LOXL3        	                                  	lysyl oxidase like 3                                                                                 	lysyl oxidase homolog 3                                                                                                 	             	        12 	NC_072385.2                          	                               58932881 	                             58953884 	plus        	        15 	     	
  9600 	Pongo pygmaeus 	129029954 	        0 	live   	GTF2A1L      	SALF                              	general transcription factor IIA subunit 1 like                                                      	TFIIA-alpha and beta-like factor                                                                                        	             	        12 	NC_072385.2                          	                               85007142 	                             85071661 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129029952 	        0 	live   	STON1        	SALF                              	stonin 1                                                                                             	stonin-1                                                                                                                	             	        12 	NC_072385.2                          	                               85089179 	                             85154643 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129029951 	        0 	live   	LHCGR        	                                  	luteinizing hormone/choriogonadotropin receptor                                                      	lutropin-choriogonadotropic hormone receptor                                                                            	             	        12 	NC_072385.2                          	                               84937327 	                             85001890 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129029948 	        0 	live   	ID2          	                                  	inhibitor of DNA binding 2                                                                           	DNA-binding protein inhibitor ID-2                                                                                      	             	        12 	NC_072385.2                          	                              125355061 	                            125360636 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129029614 	        0 	live   	ADAM17       	                                  	ADAM metallopeptidase domain 17                                                                      	disintegrin and metalloproteinase domain-containing protein 17                                                          	             	        12 	NC_072385.2                          	                              124493341 	                            124559603 	plus        	        19 	     	
  9600 	Pongo pygmaeus 	129029572 	        0 	live   	ASAP2        	                                  	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2                                               	arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2                                                  	             	        12 	NC_072385.2                          	                              124641667 	                            124840419 	minus       	        28 	     	
  9600 	Pongo pygmaeus 	129029375 	        0 	live   	LRPPRC       	                                  	leucine rich pentatricopeptide repeat containing                                                     	leucine-rich PPR motif-containing protein, mitochondrial                                                                	             	        12 	NC_072385.2                          	                               89736894 	                             89847058 	plus        	        39 	     	
  9600 	Pongo pygmaeus 	129029304 	        0 	live   	RNF144A      	                                  	ring finger protein 144A                                                                             	E3 ubiquitin-protein ligase RNF144A                                                                                     	             	        12 	NC_072385.2                          	                              126965956 	                            127124512 	minus       	        13 	     	
  9600 	Pongo pygmaeus 	129029200 	        0 	live   	ROCK2        	                                  	Rho associated coiled-coil containing protein kinase 2                                               	rho-associated protein kinase 2                                                                                         	             	        12 	NC_072385.2                          	                              122709592 	                            122873934 	plus        	        33 	     	
  9600 	Pongo pygmaeus 	129028695 	        0 	live   	CNOT11       	                                  	CCR4-NOT transcription complex subunit 11                                                            	CCR4-NOT transcription complex subunit 11                                                                               	             	        12 	NC_072385.2                          	                               31620582 	                             31637711 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129028686 	        0 	live   	RPL31        	                                  	ribosomal protein L31                                                                                	large ribosomal subunit protein eL31                                                                                    	             	        12 	NC_072385.2                          	                               31365634 	                             31369867 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129028606 	        0 	live   	NPAS2        	                                  	neuronal PAS domain protein 2                                                                        	neuronal PAS domain-containing protein 2                                                                                	             	        12 	NC_072385.2                          	                               31180958 	                             31360203 	plus        	        23 	     	
  9600 	Pongo pygmaeus 	129028591 	        0 	live   	GALM         	                                  	galactose mutarotase                                                                                 	galactose mutarotase                                                                                                    	             	        12 	NC_072385.2                          	                               95088497 	                             95159568 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129028580 	        0 	live   	GEMIN6       	                                  	gem nuclear organelle associated protein 6                                                           	gem-associated protein 6                                                                                                	             	        12 	NC_072385.2                          	                               95042750 	                             95047009 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129028545 	        0 	live   	SRSF7        	                                  	serine and arginine rich splicing factor 7                                                           	serine/arginine-rich splicing factor 7                                                                                  	             	        12 	NC_072385.2                          	                               95071343 	                             95078079 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129028313 	        0 	live   	ALKAL2       	                                  	ALK and LTK ligand 2                                                                                 	ALK and LTK ligand 2                                                                                                    	             	        12 	NC_072385.2                          	                              134020078 	                            134031130 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129028074 	        0 	live   	SH3YL1       	                                  	SH3 and SYLF domain containing 1                                                                     	SH3 domain-containing YSC84-like protein 1                                                                              	             	        12 	NC_072385.2                          	                              134043825 	                            134089420 	plus        	        16 	     	
  9600 	Pongo pygmaeus 	129027984 	        0 	live   	XPO1         	                                  	exportin 1                                                                                           	exportin-1                                                                                                              	             	        12 	NC_072385.2                          	                               72032783 	                             72093270 	plus        	        27 	     	
  9600 	Pongo pygmaeus 	129027918 	        0 	live   	SPDYA        	                                  	speedy/RINGO cell cycle regulator family member A                                                    	speedy protein A                                                                                                        	             	        12 	NC_072385.2                          	                              105091585 	                            105134755 	minus       	        11 	     	
  9600 	Pongo pygmaeus 	129027892 	        0 	live   	WDR43        	                                  	WD repeat domain 43                                                                                  	WD repeat-containing protein 43                                                                                         	             	        12 	NC_072385.2                          	                              104996475 	                            105071748 	minus       	        19 	     	
  9600 	Pongo pygmaeus 	129027836 	        0 	live   	GFPT1        	                                  	glutamine--fructose-6-phosphate transaminase 1                                                       	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1                                                        	             	        12 	NC_072385.2                          	                               64147054 	                             64209288 	plus        	        20 	     	
  9600 	Pongo pygmaeus 	129027827 	        0 	live   	RPS27A       	                                  	ribosomal protein S27a                                                                               	ubiquitin-ribosomal protein eS31 fusion protein                                                                         	             	        12 	NC_072385.2                          	                               78321878 	                             78325712 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129027685 	        0 	live   	MTIF2        	                                  	mitochondrial translational initiation factor 2                                                      	translation initiation factor IF-2, mitochondrial                                                                       	             	        12 	NC_072385.2                          	                               78288101 	                             78320841 	plus        	        16 	     	
  9600 	Pongo pygmaeus 	129027375 	        0 	live   	CCDC88A      	                                  	coiled-coil domain containing 88A                                                                    	girdin                                                                                                                  	             	        12 	NC_072385.2                          	                               78137835 	                             78269653 	plus        	        33 	     	
  9600 	Pongo pygmaeus 	129027206 	        0 	live   	PNPT1        	                                  	polyribonucleotide nucleotidyltransferase 1                                                          	polyribonucleotide nucleotidyltransferase 1, mitochondrial                                                              	             	        12 	NC_072385.2                          	                               77860078 	                             77917070 	plus        	        28 	     	
  9600 	Pongo pygmaeus 	129026970 	        0 	live   	CAMKMT       	                                  	calmodulin-lysine N-methyltransferase                                                                	calmodulin-lysine N-methyltransferase                                                                                   	             	        12 	NC_072385.2                          	                               88944863 	                             89362736 	minus       	        13 	     	
  9600 	Pongo pygmaeus 	129026954 	        0 	live   	SLC3A1       	                                  	solute carrier family 3 member 1                                                                     	amino acid transporter heavy chain SLC3A1                                                                               	             	        12 	NC_072385.2                          	                               89403792 	                             89449419 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	129026914 	        0 	live   	PREPL        	                                  	prolyl endopeptidase like                                                                            	prolyl endopeptidase-like                                                                                               	             	        12 	NC_072385.2                          	                               89362722 	                             89405668 	plus        	        16 	     	
  9600 	Pongo pygmaeus 	129026848 	        0 	live   	HADHB        	                                  	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta                         	trifunctional enzyme subunit beta, mitochondrial                                                                        	             	        12 	NC_072385.2                          	                              107653492 	                            107697202 	minus       	        19 	     	
  9600 	Pongo pygmaeus 	129026832 	        0 	live   	HADHA        	                                  	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha                        	trifunctional enzyme subunit alpha, mitochondrial                                                                       	             	        12 	NC_072385.2                          	                              107697121 	                            107751657 	plus        	        20 	     	
  9600 	Pongo pygmaeus 	129026779 	        0 	live   	PPP3R1       	                                  	protein phosphatase 3 regulatory subunit B, alpha                                                    	calcineurin subunit B type 1                                                                                            	             	        12 	NC_072385.2                          	                               65291242 	                             65363950 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129026763 	        0 	live   	PNO1         	                                  	partner of NOB1 homolog                                                                              	RNA-binding protein PNO1                                                                                                	             	        12 	NC_072385.2                          	                               65366799 	                             65384744 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129026747 	        0 	live   	DNAAF10      	                                  	dynein axonemal assembly factor 10                                                                   	dynein axonemal assembly factor 10                                                                                      	             	        12 	NC_072385.2                          	                               65384999 	                             65412853 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129026429 	        0 	live   	TET3         	                                  	tet methylcytosine dioxygenase 3                                                                     	methylcytosine dioxygenase TET3                                                                                         	             	        12 	NC_072385.2                          	                               59373713 	                             59494959 	minus       	        16 	     	
  9600 	Pongo pygmaeus 	129026398 	        0 	live   	PTCD3        	                                  	pentatricopeptide repeat domain 3                                                                    	small ribosomal subunit protein mS39                                                                                    	             	        12 	NC_072385.2                          	                               47110817 	                             47142781 	minus       	        24 	     	
  9600 	Pongo pygmaeus 	129026391 	        0 	live   	POLR1A       	                                  	RNA polymerase I subunit A                                                                           	DNA-directed RNA polymerase I subunit RPA1                                                                              	             	        12 	NC_072385.2                          	                               47142802 	                             47232247 	plus        	        34 	     	
  9600 	Pongo pygmaeus 	129026285 	        0 	live   	EXOC6B       	                                  	exocyst complex component 6B                                                                         	exocyst complex component 6B                                                                                            	             	        12 	NC_072385.2                          	                               60728214 	                             61389860 	plus        	        25 	     	
  9600 	Pongo pygmaeus 	129026269 	        0 	live   	SPR          	                                  	sepiapterin reductase                                                                                	sepiapterin reductase                                                                                                   	             	        12 	NC_072385.2                          	                               60660330 	                             60667123 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129026247 	        0 	live   	EMX1         	                                  	empty spiracles homeobox 1                                                                           	homeobox protein EMX1                                                                                                   	             	        12 	NC_072385.2                          	                               60615838 	                             60634988 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129026179 	        0 	live   	SFXN5        	                                  	sideroflexin 5                                                                                       	sideroflexin-5                                                                                                          	             	        12 	NC_072385.2                          	                               60479235 	                             60610480 	plus        	        19 	     	
  9600 	Pongo pygmaeus 	129026126 	        0 	live   	SMYD5        	                                  	SMYD family member 5                                                                                 	histone-lysine N-trimethyltransferase SMYD5                                                                             	             	        12 	NC_072385.2                          	                               60325623 	                             60338660 	minus       	        13 	     	
  9600 	Pongo pygmaeus 	129026106 	        0 	live   	CCT7         	                                  	chaperonin containing TCP1 subunit 7                                                                 	T-complex protein 1 subunit eta                                                                                         	             	        12 	NC_072385.2                          	                               60300203 	                             60318906 	minus       	        12 	     	
  9600 	Pongo pygmaeus 	129025957 	        0 	live   	DUSP11       	                                  	dual specificity phosphatase 11                                                                      	RNA/RNP complex-1-interacting phosphatase                                                                               	             	        12 	NC_072385.2                          	                               59678755 	                             59698993 	plus        	         9 	     	
  9600 	Pongo pygmaeus 	129025900 	        0 	live   	STAMBP       	                                  	STAM binding protein                                                                                 	STAM-binding protein                                                                                                    	             	        12 	NC_072385.2                          	                               59605121 	                             59651055 	minus       	        15 	     	
  9600 	Pongo pygmaeus 	129025846 	        0 	live   	CRIM1        	                                  	cysteine rich transmembrane BMP regulator 1                                                          	cysteine-rich motor neuron 1 protein                                                                                    	             	        12 	NC_072385.2                          	                               97312316 	                             97508158 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129025835 	        0 	live   	ASPRV1       	                                  	aspartic peptidase retroviral like 1                                                                 	retroviral-like aspartic protease 1                                                                                     	             	        12 	NC_072385.2                          	                               63560387 	                             63562765 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129025674 	        0 	live   	GPATCH11     	                                  	G-patch domain containing 11                                                                         	G patch domain-containing protein 11                                                                                    	             	        12 	NC_072385.2                          	                               96755143 	                             96770349 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	129025668 	        0 	live   	EIF2AK2      	                                  	eukaryotic translation initiation factor 2 alpha kinase 2                                            	interferon-induced, double-stranded RNA-activated protein kinase                                                        	             	        12 	NC_072385.2                          	                               96694742 	                             96755174 	plus        	        17 	     	
  9600 	Pongo pygmaeus 	129025535 	        0 	live   	SPAST        	                                  	spastin                                                                                              	spastin                                                                                                                 	             	        12 	NC_072385.2                          	                              101757655 	                            101847492 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129025443 	        0 	live   	NCOA1        	                                  	nuclear receptor coactivator 1                                                                       	nuclear receptor coactivator 1                                                                                          	             	        12 	NC_072385.2                          	                              109182427 	                            109459841 	minus       	        26 	     	
  9600 	Pongo pygmaeus 	129025414 	        0 	live   	PRKCE        	                                  	protein kinase C epsilon                                                                             	protein kinase C epsilon type                                                                                           	             	        12 	NC_072385.2                          	                               87543039 	                             88074764 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129025403 	        0 	live   	EPAS1        	                                  	endothelial PAS domain protein 1                                                                     	endothelial PAS domain-containing protein 1                                                                             	             	        12 	NC_072385.2                          	                               87345324 	                             87435048 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129025372 	        0 	live   	ATP6V1E2     	                                  	ATPase H+ transporting V1 subunit E2                                                                 	V-type proton ATPase subunit E 2                                                                                        	             	        12 	NC_072385.2                          	                               87176232 	                             87206443 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129025346 	        0 	live   	RHOQ         	                                  	ras homolog family member Q                                                                          	rho-related GTP-binding protein RhoQ                                                                                    	             	        12 	NC_072385.2                          	                               87139208 	                             87196841 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129025307 	        0 	live   	SOCS5        	                                  	suppressor of cytokine signaling 5                                                                   	suppressor of cytokine signaling 5                                                                                      	             	        12 	NC_072385.2                          	                               86850269 	                             87014260 	minus       	        16 	     	
  9600 	Pongo pygmaeus 	129025244 	        0 	live   	TTC7A        	                                  	tetratricopeptide repeat domain 7A                                                                   	tetratricopeptide repeat protein 7A                                                                                     	             	        12 	NC_072385.2                          	                               86633451 	                             86791824 	minus       	        24 	     	
  9600 	Pongo pygmaeus 	129025203 	        0 	live   	CALM2        	                                  	calmodulin 2                                                                                         	calmodulin-2                                                                                                            	             	        12 	NC_072385.2                          	                               86533390 	                             86551254 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129025142 	        0 	live   	MRPS5        	                                  	mitochondrial ribosomal protein S5                                                                   	small ribosomal subunit protein uS5m                                                                                    	             	        12 	NC_072385.2                          	                               23843680 	                             23880842 	minus       	        12 	     	
  9600 	Pongo pygmaeus 	129025135 	        0 	live   	MAL          	                                  	mal, T cell differentiation protein                                                                  	myelin and lymphocyte protein                                                                                           	             	        12 	NC_072385.2                          	                               23780412 	                             23806946 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	129025125 	        0 	live   	MRPL35       	                                  	mitochondrial ribosomal protein L35                                                                  	large ribosomal subunit protein bL35m                                                                                   	             	        12 	NC_072385.2                          	                               47032259 	                             47046206 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129025041 	        0 	live   	EIF2AK3      	                                  	eukaryotic translation initiation factor 2 alpha kinase 3                                            	eukaryotic translation initiation factor 2-alpha kinase 3                                                               	             	        12 	NC_072385.2                          	                               45715508 	                             45789822 	plus        	        18 	     	
  9600 	Pongo pygmaeus 	129025031 	        0 	live   	RPIA         	                                  	ribose 5-phosphate isomerase A                                                                       	ribose-5-phosphate isomerase                                                                                            	             	        12 	NC_072385.2                          	                               45594872 	                             45653466 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129024984 	        0 	live   	SMC6         	                                  	structural maintenance of chromosomes 6                                                              	structural maintenance of chromosomes protein 6                                                                         	             	        12 	NC_072385.2                          	                              116205197 	                            116294094 	plus        	        27 	     	
  9600 	Pongo pygmaeus 	129024924 	        0 	live   	VRK2         	                                  	VRK serine/threonine kinase 2                                                                        	serine/threonine-protein kinase VRK2                                                                                    	             	        12 	NC_072385.2                          	                               75399234 	                             75660970 	minus       	        21 	     	
  9600 	Pongo pygmaeus 	129024882 	        0 	live   	TTL          	                                  	tubulin tyrosine ligase                                                                              	tubulin--tyrosine ligase                                                                                                	             	        12 	NC_072385.2                          	                               43613862 	                             43684958 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129024876 	        0 	live   	POLR1B       	                                  	RNA polymerase I subunit B                                                                           	DNA-directed RNA polymerase I subunit RPA2                                                                              	             	        12 	NC_072385.2                          	                               43694469 	                             43729024 	plus        	        15 	     	
  9600 	Pongo pygmaeus 	129024861 	        0 	live   	ZC3H6        	                                  	zinc finger CCCH-type containing 6                                                                   	zinc finger CCCH domain-containing protein 6                                                                            	             	        12 	NC_072385.2                          	                               43462936 	                             43523308 	plus        	        13 	     	
  9600 	Pongo pygmaeus 	129024816 	        0 	live   	FBXO11       	                                  	F-box protein 11                                                                                     	F-box only protein 11                                                                                                   	             	        12 	NC_072385.2                          	                               85800704 	                             85899950 	plus        	        23 	     	
  9600 	Pongo pygmaeus 	129024803 	        0 	live   	MSH6         	                                  	mutS homolog 6                                                                                       	DNA mismatch repair protein Msh6                                                                                        	             	        12 	NC_072385.2                          	                               85899917 	                             85924879 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	134737527 	        0 	live   	RNF103       	                                  	ring finger protein 103                                                                              	E3 ubiquitin-protein ligase RNF103                                                                                      	             	        12 	NC_072385.2                          	                               46609652 	                             46636825 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129030875 	        0 	live   	MITD1        	                                  	microtubule interacting and trafficking domain containing 1                                          	MIT domain-containing protein 1                                                                                         	             	        12 	NC_072385.2                          	                               28809037 	                             28821156 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129030863 	        0 	live   	TOGARAM2     	                                  	TOG array regulator of axonemal microtubules 2                                                       	TOG array regulator of axonemal microtubules protein 2                                                                  	             	        12 	NC_072385.2                          	                              104894789 	                            104965810 	minus       	        20 	     	
